2017/03/22 21:28:05 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: Loading user properties from: /usr/local/Cellar/jmeter/3.1/libexec/bin/user.properties 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: Loading system properties from: /usr/local/Cellar/jmeter/3.1/libexec/bin/system.properties 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: Version 3.1 r1770033 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: java.version=1.8.0_121 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: os.name=Mac OS X 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: os.arch=x86_64 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: os.version=10.12.3 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: Max memory     =514850816 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: Available Processors =4 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: JMeterHome=/usr/local/Cellar/jmeter/3.1/libexec 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: user.dir  =/Users/aaronmoehring/Documents/school/cs260/hw5-2-moehringa-master 
2017/03/22 21:28:06 INFO  - jmeter.JMeter: PWD       =/Users/aaronmoehring/Documents/school/cs260/hw5-2-moehringa-master 
2017/03/22 21:28:11 INFO  - jmeter.JMeter: IP: 192.168.1.116 Name: aarons-MacBook-Air.local FullName: 192.168.1.116 
2017/03/22 21:28:12 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: com.apple.laf.AquaLookAndFeel [Mac OS X, System] 
2017/03/22 21:28:12 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2017/03/22 21:28:17 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2017/03/22 21:28:17 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2017/03/22 21:28:18 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.assertions.BSFAssertion 
